dt_add,rate,description
2019-05-09,1,"Curabitur gravida nisi at nibh. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem."
2018-10-27,4,"Fusce consequat. Nulla nisl. Nunc nisl."
2018-11-02,5,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus."
2019-06-04,3,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
2018-10-09,3,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo."
2019-07-16,4,"Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh."
2019-01-22,5,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
2019-06-11,4,"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio."
2019-02-16,3,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio."
2019-07-16,5,"Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum."
2018-11-11,4,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.
2018-11-01,5,"Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit."
2018-10-05,1,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
2019-02-28,3,"Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat."
2019-07-04,3,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."
2019-07-30,3,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est."
2019-07-10,4,"Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst."
2019-09-15,2,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.
2018-10-16,3,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus."
2019-02-13,4,"Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat."
